Database Column Name,Data Type,Schema
id,BIGINT,jira_snapshot
key,VARCHAR,jira_snapshot
issue_type,VARCHAR,jira_snapshot
subtask,BOOLEAN,jira_snapshot
status,VARCHAR,jira_snapshot
status_category,VARCHAR,jira_snapshot
created,TIMESTAMP,jira_snapshot
updated,TIMESTAMP,jira_snapshot
resolution_date,TIMESTAMP,jira_snapshot
resolution,VARCHAR,jira_snapshot
creator,VARCHAR,jira_snapshot
report_display_name,VARCHAR,jira_snapshot
assignee_display_name,VARCHAR,jira_snapshot
components,VARCHAR,jira_snapshot
description,VARCHAR,jira_snapshot
summary,VARCHAR,jira_snapshot
due_date,VARCHAR,jira_snapshot
priority,VARCHAR,jira_snapshot
archived,VARCHAR,jira_snapshot
fix_versions_description,VARCHAR,jira_snapshot
fix_version,VARCHAR,jira_snapshot
release_date,VARCHAR,jira_snapshot
released,VARCHAR,jira_snapshot
business_impact,VARCHAR,jira_snapshot
ba_estimate_comment,VARCHAR,jira_snapshot
change_type,VARCHAR,jira_snapshot
epic,VARCHAR,jira_snapshot
epic_name,VARCHAR,jira_snapshot
change_classification,VARCHAR,jira_snapshot
complexity,VARCHAR,jira_snapshot
ba_owner,VARCHAR,jira_snapshot
emergency_reason,VARCHAR,jira_snapshot
justification_for_fyi_only,DOUBLE,jira_snapshot
person_responsible,VARCHAR,jira_snapshot
ba_estimate,DOUBLE,jira_snapshot
test_estimate,DOUBLE,jira_snapshot
uat_date,VARCHAR,jira_snapshot
dev_estimate,DOUBLE,jira_snapshot
bau,VARCHAR,jira_snapshot
portfolio,VARCHAR,jira_snapshot
ict_change,VARCHAR,jira_snapshot
ccf_date,VARCHAR,jira_snapshot
batch_id,BIGINT,jira_snapshot
active,BIGINT,jira_snapshot
